Date,Count
2016-08-23,5
2016-08-24,5
2016-08-25,2
2016-08-26,1
2016-08-28,1
2016-08-29,6
2016-08-30,6
2016-08-31,8
2016-09-01,5
2016-09-02,3
2016-09-05,2
2016-09-06,5
2016-09-07,9
2016-09-08,4
2016-09-09,4
2016-09-12,6
2016-09-13,7
2016-09-14,8
2016-09-15,3
2016-09-16,7
2016-09-18,1
2016-09-19,4
2016-09-20,6
2016-09-21,4
2016-09-22,12
2016-09-23,3
2016-09-25,1
2016-09-26,4
2016-09-27,10
2016-09-28,11
2016-09-29,6
2016-09-30,5
2016-10-03,5
2016-10-04,4
2016-10-05,8
2016-10-06,9
2016-10-07,7
2016-10-09,1
2016-10-10,5
2016-10-11,4
2016-10-12,4
2016-10-13,6
2016-10-14,3
2016-10-17,2
2016-10-18,4
2016-10-19,2
2016-10-20,6
2016-10-21,8
2016-10-24,3
2016-10-25,7
2016-10-26,11
2016-10-27,9
2016-10-28,8
2016-10-29,1
2016-10-31,5
2016-11-01,2
2016-11-02,5
2016-11-03,8
2016-11-04,5
2016-11-07,12
2016-11-08,7
2016-11-09,7
2016-11-10,9
2016-11-11,10
2016-11-14,5
2016-11-15,3
2016-11-16,4
2016-11-17,9
2016-11-18,7
2016-11-21,5
2016-11-22,10
2016-11-23,4
2016-11-24,1
2016-11-25,3
2016-11-28,5
2016-11-29,7
2016-11-30,5
2016-12-01,5
2016-12-02,5
2016-12-03,1
2016-12-05,3
2016-12-06,4
2016-12-07,7
2016-12-08,3
2016-12-09,3
2016-12-12,2
2016-12-13,7
2016-12-14,7
2016-12-15,4
2016-12-16,1
